    # Step         Domain_Size
    540000      1.25259943E+01     -2.49999419E-01      5.16328216E-01      4.79228477E+01      9.83651829E+00
    550000      1.26419754E+01     -2.49999434E-01      5.17157078E-01      5.50575104E+01      8.96740055E+00
    560000      1.26419754E+01     -2.49999493E-01      5.16426384E-01      5.06000366E+01      9.53713703E+00
    570000      1.25644169E+01     -2.49999434E-01      5.16426086E-01      5.21137619E+01      9.87611103E+00
    580000      1.25259943E+01     -2.49999493E-01      5.16981721E-01      5.22382622E+01      8.51862335E+00
    590000      1.25644169E+01     -2.49999478E-01      5.16990364E-01      5.20300827E+01      1.06136932E+01
    600000      1.26811142E+01     -2.49999464E-01      5.16541123E-01      5.01273117E+01      9.33578873E+00
    610000      1.26811142E+01     -2.49999419E-01      5.16899168E-01      4.81222343E+01      1.08136034E+01
    620000      1.25259943E+01     -2.49999434E-01      5.16239524E-01      4.94480705E+01      1.07028151E+01
    630000      1.25259943E+01     -2.49999449E-01      5.17167270E-01      5.90079575E+01      8.89655876E+00
    640000      1.26030769E+01     -2.49999464E-01      5.17073214E-01      5.50044746E+01      1.00919151E+01
    650000      1.25259943E+01     -2.49999404E-01      5.16388297E-01      5.24382210E+01      1.20763407E+01
    660000      1.24878044E+01     -2.49999493E-01      5.16589761E-01      5.16362000E+01      9.93003368E+00
    670000      1.24878044E+01     -2.49999419E-01      5.16222119E-01      5.09552574E+01      9.17489529E+00
    680000      1.25259943E+01     -2.49999523E-01      5.16528070E-01      4.75297318E+01      1.07751188E+01
    690000      1.25259943E+01     -2.49999523E-01      5.16327679E-01      4.64970322E+01      1.00432844E+01
    700000      1.25259943E+01     -2.49999478E-01      5.16246378E-01      4.88461609E+01      1.24256592E+01
    710000      1.26030769E+01     -2.49999493E-01      5.16294360E-01      5.02021790E+01      1.16046667E+01
    720000      1.25644169E+01     -2.49999464E-01      5.16444981E-01      5.18599129E+01      1.18168993E+01
    730000      1.26030769E+01     -2.49999449E-01      5.16447902E-01      5.35950851E+01      1.22866917E+01
    740000      1.25644169E+01     -2.49999434E-01      5.16893923E-01      5.15781136E+01      1.26371555E+01
    750000      1.27204971E+01     -2.49999419E-01      5.16374469E-01      5.08968468E+01      1.30531273E+01
    760000      1.26419754E+01     -2.49999464E-01      5.16341746E-01      5.05466576E+01      8.73597527E+00
    770000      1.26419754E+01     -2.49999464E-01      5.16186774E-01      4.94930801E+01      9.24148273E+00
    780000      1.26811142E+01     -2.49999568E-01      5.16631782E-01      5.06548729E+01      7.88570976E+00
    790000      1.24121208E+01     -2.49999389E-01      5.16244590E-01      5.15704269E+01      9.74458504E+00
    800000      1.24121208E+01     -2.49999449E-01      5.16468465E-01      4.87401314E+01      8.74770737E+00
    810000      1.25644169E+01     -2.49999478E-01      5.16701818E-01      4.82445412E+01      8.15560055E+00
