    # Step        E_Field           E_PP     E_Coupling        E_Total
   2880000  -4.795359E+01   0.000000E+00   2.945203E-01  -4.765907E+01
   2890000  -4.790261E+01   0.000000E+00   2.871841E-01  -4.761542E+01
   2900000  -4.842849E+01   3.504641E-01   2.055851E-01  -4.787244E+01
   2910000  -4.827706E+01   0.000000E+00   2.993260E-01  -4.797773E+01
   2920000  -4.829724E+01   0.000000E+00   3.439465E-01  -4.795329E+01
   2930000  -4.830104E+01   0.000000E+00   2.877250E-01  -4.801332E+01
   2940000  -4.821619E+01   0.000000E+00   2.683257E-01  -4.794786E+01
   2950000  -4.848825E+01   4.198988E-02   2.463199E-01  -4.819995E+01
   2960000  -4.778434E+01   0.000000E+00   3.366764E-01  -4.744766E+01
   2970000  -4.850886E+01   0.000000E+00   3.675488E-01  -4.814131E+01
   2980000  -4.859184E+01   7.351869E-02   2.258513E-01  -4.829247E+01
   2990000  -4.867093E+01   0.000000E+00   2.220095E-01  -4.844892E+01
   3000000  -4.869175E+01   0.000000E+00   2.646350E-01  -4.842711E+01
   3010000  -4.784917E+01   0.000000E+00   3.001409E-01  -4.754903E+01
   3020000  -4.821431E+01   0.000000E+00   3.790151E-01  -4.783529E+01
   3030000  -4.883820E+01   0.000000E+00   2.095392E-01  -4.862866E+01
   3040000  -4.821410E+01   9.217640E-03   1.976683E-01  -4.800721E+01
   3050000  -4.804910E+01   0.000000E+00   3.457818E-01  -4.770331E+01
   3060000  -4.858293E+01   3.686155E-02   2.272468E-01  -4.831882E+01
   3070000  -4.758845E+01   0.000000E+00   4.219570E-01  -4.716649E+01
   3080000  -4.823478E+01   1.342108E-01   3.664256E-01  -4.773414E+01
   3090000  -4.814938E+01   0.000000E+00   2.775390E-01  -4.787184E+01
   3100000  -4.872860E+01   0.000000E+00   1.902950E-01  -4.853831E+01
   3110000  -4.874648E+01   0.000000E+00   2.974505E-01  -4.844902E+01
   3120000  -4.904621E+01   0.000000E+00   1.795639E-01  -4.886664E+01
